x;n;nNx;nDx;nmx;nax;nqx;npx;lx;ndx;nLx;Tx;ex
0;1;369300;2022;0.0054752234;0.4646954996;0.0054592229;0.9945407771;100000;546;99708;7471377;74.7137679316
1;4;1462700;467;0.0003192726;1.6501009284;0.0012761329;0.9987238671;99454;127;397518;7371669;74.1213351681
5;5;1755600;306;0.0001742994;2.5;0.0008711173;0.9991288827;99327;87;496419;6974151;70.2139362645
10;5;1974200;394;0.0001995745;2.5;0.0009973749;0.9990026251;99241;99;495956;6477731;65.2729744775
15;5;1997800;1315;0.000658224;2.5;0.0032857134;0.9967142866;99142;326;494894;5981776;60.3356451747
20;5;2041900;2377;0.0011641119;2.5;0.005803669;0.994196331;98816;573;492646;5486882;55.5263029755
25;5;2155700;2824;0.0013100153;2.5;0.0065286948;0.9934713052;98242;641;489609;4994236;50.835846574
30;5;2193000;3659;0.0016684907;2.5;0.0083077995;0.9916922005;97601;811;485978;4504627;46.1534903643
35;5;2150700;4764;0.0022150928;2.5;0.0110144686;0.9889855314;96790;1066;481286;4018650;41.5191929959
40;5;2114300;6906;0.0032663293;2.5;0.0161993653;0.9838006347;95724;1551;474744;3537364;36.9537551442
45;5;2167100;9944;0.0045886207;2.5;0.0226828957;0.9773171043;94173;2136;465527;3062620;32.5210743187
50;5;1608000;10873;0.0067618159;2.5;0.0332470535;0.9667529465;92037;3060;452536;2597094;28.2178439687
55;5;1341000;13304;0.0099209545;2.5;0.0484042321;0.9515957679;88977;4307;434119;2144557;24.102291786
60;5;1362300;20756;0.0152359979;2.5;0.0733847644;0.9266152356;84670;6214;407818;1710438;20.2011221725
65;5;1266000;28937;0.02285703;2.5;0.1081076032;0.8918923968;78457;8482;371080;1302619;16.6029906404
70;5;1056300;36075;0.0341522295;2.5;0.1573283616;0.8426716384;69975;11009;322353;931539;13.3124351007
75;5;651300;33265;0.0510747735;2.5;0.2264581241;0.7735418759;58966;13353;261447;609186;10.331136837
80;5;409100;37544;0.0917721828;2.5;0.3732304756;0.6267695244;45613;17024;185503;347739;7.6237400087
85;5;346500;61059;0.1762164502;5.6748390901;1;0;28589;28589;162236.026504139;162236;5.6748390901
